totalComment,totalSale
2,3
54,213
8,29
10,153
1,17
5,12
3,5
0,0
8,52
1,4
10,63
0,0
5,9
0,0
0,0
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
40,381
1,0
5,20
2,17
76,205
15,119
45,157
0,0
112,714
1,5
63,270
4,21
128,444
0,0
44,319
22,151
36,145
32,97
16,64
31,114
2,17
0,0
17,28
22,69
0,0
0,1
3,31
0,0
13,21
2,7
1,2
2,3
60,291
13,56
3,13
14,41
0,13
3,61
31,120
189,908
0,0
16,128
1,14
69,472
0,5
18,63
2,32
0,0
0,0
16,88
0,5
15,26
1,1
10,12
1,3
96,421
1,4
0,0
5,32
34,125
5,11
42,72
2,4
2,2
2,7
0,0
2,10
2,5
0,0
5,10
0,5
105,414
1,1
1,2
2,2
3,3
0,0
2,1
3,11
2,7
0,0
3,38
2,7
9,33
0,0
82,647
0,0
0,3
1,15
9,49
5,9
2,22
2,8
0,0
0,0
4,7
248,1029
0,1
0,0
87,179
0,0
0,7
0,0
148,550
3,4
0,0
0,0
4,14
38,115
0,0
4,10
0,0
7,26
0,2
2,10
0,0
13,32
0,0
0,0
1,18
1,1
23,223
12,111
1,11
0,0
5,37
0,12
0,6
24,162
0,0
1,19
81,347
1,4
29,56
17,44
38,77
0,0
0,1
0,3
2,9
31,92
29,147
1,6
1,16
16,35
0,7
8,14
30,139
0,0
0,0
10,64
2,10
0,0
5,6
0,0
0,4
0,31
0,0
1,6
1,35
0,0
0,12
2,10
1020,3327
14,86
143,665
2,16
3,30
1,0
33,60
30,73
2,6
10,18
1,33
0,0
0,0
0,0
7,23
0,0
0,0
15,75
2,7
2,5
0,0
9,18
10,22
0,0
0,25
3,24
1,1
1,4
0,0
138,302
1,3
0,0
0,10
1,3
13,67
33,145
2,3
6,32
0,0
12,20
4,30
0,0
14,67
9,30
0,0
5,13
7,18
36,120
7,12
0,0
26,108
0,0
27,144
7,30
0,0
8,33
0,1
0,26
13,77
7,59
1,1
0,0
4,8
0,1
0,0
10,63
2,15
30,107
1,6
218,1077
0,0
285,573
1,1
11,55
1,2
6,10
16,89
0,0
92,212
204,918
0,0
0,0
3,10
0,0
26,109
28,77
0,1
0,2
0,9
402,1626
0,0
28,109
7,70
0,8
5,35
0,6
27,200
3,54
0,0
3,13
0,1
16,114
0,0
0,0
0,0
2,31
28,195
2,31
2,26
0,6
0,0
2,8
0,2
1,1
0,0
1,5
0,0
0,0
10,16
0,2
1,2
234,1016
3,14
2,15
0,1
60,222
0,0
0,0
0,3
201,522
0,0
714,2195
3,24
0,1
0,1
0,0
34,73
15,153
0,6
19,7
25,231
1,4
3,25
10,42
10,68
0,0
0,0
56,365
3,4
1,8
20,135
2,8
25,99
0,0
2,19
3,28
6,19
21,94
3,15
4,16
10,24
0,0
10,23
5,40
8,17
1,2
0,0
2,0
2,12
584,1916
3,20
2,3
7,15
2,4
7,20
0,4
21,83
4,20
2,5
3,28
0,0
0,0
36,105
1,3
8,33
40,109
0,0
25,193
56,131
3,18
1,25
10,14
4,79
2,3
0,0
147,524
74,328
2,1
1,5
28,265
0,0
94,226
1,11
2,15
0,0
1,15
205,1529
1,7
1,17
13,39
2,6
22,308
1,3
11,54
80,440
26,66
1,5
0,4
3,10
175,521
4,32
3,25
0,0
5,6
0,0
2,10
1,4
3,17
0,0
14,43
0,0
5,18
7,26
4,63
0,0
5,18
2,8
0,0
3,21
17,107
0,3
1,10
3,11
1,1
8,63
0,8
1,4
9,46
188,362
50,77
21,52
0,0
0,0
5,22
206,722
1,1
0,1
3,52
10,51
2,4
1,9
0,0
7,30
33,361
5,18
0,0
0,0
0,0
18,104
0,0
0,4
52,263
0,9
1,1
10,39
0,0
1215,4081
7,23
0,0
0,0
6,16
0,0
0,0
16,117
2,14
0,0
189,613
15,35
4,14
10,24
0,2
28,156
0,1
5,16
1,2
7,90
6,53
0,0
8,19
0,0
0,0
328,1707
11,26
111,397
8,20
1,18
0,0
0,0
2,6
1,3
18,76
1,4
8,37
0,7
0,0
1,4
0,0
0,4
0,0
2,4
5,38
29,92
48,274
0,0
9,19
1,1
0,0
4,28
14,102
0,0
3,24
0,0
1,4
7,22
6,13
1,5
0,0
24,148
0,0
0,0
0,0
0,0
0,0
0,0
3,4
13,168
0,0
1,8
9,58
0,0
5,35
0,0
0,0
0,0
5,28
1,1
0,0
39,167
77,153
0,0
9,21
0,0
8,55
83,90
0,0
18,58
0,0
4,52
1,3
14,51
0,0
210,460
82,385
339,1229
4,19
3,8
1,4
0,3
0,0
0,2
0,0
99,258
5,16
1,9
31,19
2,2
2,4
5,19
20,44
0,0
336,1010
8,1
0,0
0,0
6,39
0,0
0,0
27,240
0,0
699,3057
0,3
15,83
198,796
600,2759
0,0
0,0
1,1
0,2
50,56
12,53
0,0
1,6
41,141
0,0
0,1
1,0
16,17
0,0
0,1435
0,0
2,7
0,0
2,5
12,17
7,73
0,0
1,2
6,36
2,10
2,4
0,1
0,0
0,0
0,0
6,7
19,134
3,18
2,11
9,40
0,0
14,20
0,0
18,48
53,268
0,0
3,4
0,0
34,150
6,51
27,372
0,0
0,2
0,0
0,0
0,0
1,7
3,11
6,42
0,0
0,2
39,200
0,0
0,2
3,3
3,17
84,260
3,6
0,4
6,54
0,0
0,9
2,15
1,7
1,11
0,0
0,1
5,20
14,105
0,0
1,2
3,6
0,6
0,0
0,1
1,2
3,16
0,0
6,20
1,2
1,4
62,63
0,19
0,0
0,0
8,17
1,3
1,2
100,155
0,1
0,0
0,0
164,748
3,11
1267,3874
0,0
0,9
39,809
0,0
1,1
0,0
6,14
0,0
1,1
23,94
0,0
3,19
0,0
40,282
1,1
3,4
3,16
0,0
13,52
32,233
0,0
3,10
6,23
4,11
0,0
57,188
0,0
9,13
1,0
0,2
0,1
0,0
3,19
3,4
1,6
7,35
2,6
7,45
6,17
264,1696
7,36
0,0
0,0
0,0
0,4
0,0
0,0
0,4
7,19
0,0
1,3
0,0
11,132
0,0
21,61
0,0
1,6
6,18
1,8
0,0
0,1
0,0
4,31
0,1
29,57
26,89
1,14
22,213
53,96
144,330
71,166
5,10
0,1
0,0
8,16
10,37
19,39
6,27
97,188
0,2
91,381
0,0
156,546
11,94
1,10
0,0
25,186
5,14
2,6
3,4
1,2
0,0
0,15
0,4
3,12
21,74
0,0
2,12
3,1
5,16
12,69
7,36
2,3
3,10
10,32
7,34
1,6
6,37
1,1
1,2
0,0
1,5
9,121
0,0
12,43
2,3
0,0
1,6
14,62
8,30
4,11
12,20
134,422
0,0
0,0
6,17
0,0
8,6
0,2
0,0
15,55
0,0
11,70
4,8
0,0
646,2053
0,0
1,14
0,0
100,316
1,28
12,49
0,0
1,4
14,133
0,0
0,0
7,37
1,13
1,6
0,0
0,12
7,31
0,0
2,4
57,203
0,0
12,89
0,2
0,0
0,0
1,4
0,0
0,0
19,179
0,0
38,226
1,0
0,3
4,15
1,8
50,207
4,28
0,0
2,14
0,0
8,37
