Product,Pid,TotalSale,TotalComment,TotalRevenue,Net. (kg)
【天猫超市】雀巢能恩金盾3较大婴儿配方奶粉900g品质保证,26632588943,3,2,525,0.9
圣元进口优博1段900g罐装 原装原罐进口婴幼儿奶粉 官方旗舰店,10257433760,213,54,22842,0.9
（美国直邮）Similac雅培金盾1段一段奶粉658G 0-12个月完全营养,18943058593,29,8,6535.02,0.658
美国直邮 4罐送溶豆 进口美赞臣Enfagrow三/3段婴幼儿奶粉 牛奶味,35716384438,153,10,27215.66,0
【6件多省包邮】14年6月进口奶源雀巢能恩3段400g,37372913990,17,1,1088,0.4
美赞臣奶粉1段安婴儿A+900g(0-12个月)婴幼儿奶粉 带防伪 新包装,10696627395,12,5,2628,0.9
雀巢 超级能恩3段奶粉 德国进口幼儿配方奶粉 1-3岁 800g*2罐装,38877782031,5,3,2430,0.8
惠氏3段1-3岁奶粉 四维营养金装 幼儿乐400g盒装 进口奶源,10685847211,0,0,0,0.4
新西兰原装进口金装较大婴儿配方牛奶粉2段1000g罐装二段包邮,10492410002,52,8,6116,1
【买就送+满减】 纽瑞滋 奶粉金装婴儿配方奶粉 2段1000g13年产,10667498350,4,1,1112,1
14年2月产【买就送+满减】纽瑞滋 奶粉金装婴儿配方奶粉3段1000g,10668057112,63,10,16254,1
13年11月Wyeth/惠氏金装健儿乐2段奶粉1600g 智学因子配方 HS0229,10745280742,0,0,0,1.6
纽瑞滋新西兰原装进口奶粉金装婴儿配方牛奶粉1段300g罐装一段,10492462992,9,5,828,0.3
Wyeth/惠氏3段1-3岁奶粉 金装幼儿乐三联包2400g 进口奶源,10578610087,0,0,0,2.4
14年2月 Wyeth/惠氏金装爱儿乐1段奶粉1200g 智学因子配方 HS5077,10745859304,0,0,0,1.2
雀巢 超级能恩3段奶粉 800克 德国原装进口奶粉 限区包邮,10933398194,3,0,834,0.8
纽贝斯特旗舰店金装正品奶粉婴儿宝宝营养配方新生儿奶粉1段900g,10912047484,0,0,0,0.9
雀巢力多精婴儿配方奶粉1/一段 400g 0-12个月新生儿,13302514566,0,0,0,0.4
