Product,Pid,TotalComment,Net. (kg)
飞鹤星飞帆1段婴幼儿奶粉 700g听装 一段奶粉 0~3个月,35310296489,0,0.7
Friso/美素佳儿 金装 900g 一段（0-6个月）,36311669973,0,0.9
澳洲EMS直邮可瑞康爱他美4段karicare aptamil奶粉包邮新包装预售,36264655116,5,0
PINNACLE/沛沛澳 金装幼儿配方奶粉 900g 三段,22033823358,8,0.9
新西兰实体直邮Karicare可瑞康金装一段婴儿配方奶粉 900gX6罐,36223305048,0,0.9
德国本土原装 Holle 泓乐 有机婴儿奶粉1段 400g 12盒直邮 包邮,36169921148,0,0.4
雅士利a金装3段特惠三联包1200g盒装 正品保证,36306954592,0,1.2
8折特惠】 雅士利a金装4段奶粉 400g盒装整箱12盒共4800g,36313378857,0,0.4
大部分地区包邮Friso/美素佳儿 金装幼儿成长配方奶粉3段 900g 新,36290605873,24,0.9
正品特价全进口奶源 适用1-3岁宝宝 雀巢能恩3段400g盒装婴儿奶粉,36260619903,16,0.4
低至8折】雅士利a金装4段奶粉 400g盒装 整箱12盒 儿童配方奶粉,36323856371,9,0.4
澳洲EMS直邮可瑞康爱他美2段karicare aptamil婴儿进口奶粉包邮,36264555022,4,0
卡洛塔妮新西兰原装原罐进口婴儿配方奶粉进口牛奶粉一段400g,36319259199,0,0.4
KARICARE/可瑞康金装婴幼儿奶粉2段罐装 新西兰原装进口奶粉 包邮,36272258300,2,0
ABBOTT/雅培小安素3段奶粉全营养配方金装牛奶粉900G听/罐幼儿,36163775631,1,0.9
贝因美普爱+爱加2段1000克*2罐2000克6-12个月婴儿配方奶粉,36278609775,3,1
新西兰原装进口 纽瑞滋金装婴儿配方奶粉 渗透压配方1段300g*2罐,36323700153,16,0.3
惠氏奶粉S-26 3段奶粉 金装幼儿乐三段奶粉1200g*2盒组合装,36319588566,6,1.2
美赞臣 安婴儿 A+ 婴儿配方奶粉 1段 900g*3听 罐装 共2700g 正品,36168485713,0,0.9
雅士利 安贝慧 婴儿配方奶粉 1段 400g盒装 0-6个月,36294533782,0,0.4
圣元优博2段400克 较大婴儿配方奶粉 58种营养素,36350725514,2,0.4
akara/爱瑞嘉 金装 900g 二段,36272022560,36,0.9
德国原装进口包邮Aptamil爱他美/3段婴儿配方奶粉10-12个月 800g,36349467363,12,0.8
两罐包邮进口奶源升级配方 雀巢能恩3段900g克罐装 婴儿奶粉,36260731449,1,0.9
澳洲直邮 新西兰karicare Aptamil爱他美三段 婴儿牛奶粉3段 900g,36345395613,0,0.9
雅培亲体Similac进口奶源金装喜康力3段400g盒装*4盒,36324954228,1,0.4
美赞臣 安儿宝 A+ 婴幼儿配方奶粉 3段 900g*3听 总共2700g 正品,36168571483,0,0.9
贝因美奶粉 冠军宝贝 婴幼儿配方奶粉3段1000g*2罐装 宝宝牛奶粉,36320797170,135,1
【2罐立减20】圣元优博3段900克听58种营养素1-3岁幼儿配方奶粉,36350923264,7,0.9
正品两罐包邮德国原装进口 雀巢超级能恩2段800g罐装 婴儿奶粉,36257102551,0,0.8
13年12月 圣元优博1段900克/听58种营养素0-12个月婴儿配方奶粉,36357616797,4,0.9
美赞臣 安婴儿 A+ 婴儿配方奶粉 1段 900g 罐装 婴儿奶粉正品,36168697973,1,0.9
雅士利a金装2段特惠三联包1200g盒装 正品保证,36309711897,0,1.2
德国原装进口包邮Aptamil爱他美2+ 2岁以上婴幼儿宝宝奶粉600g,36349339377,11,0.6
澳洲直邮 金装惠氏一段S26金装爱儿乐婴儿奶粉1段900g*6罐,36357582780,0,0.9
Friso/美素佳儿 金装 900g 三段（1-3岁）,36313037847,0,0.9
惠氏 S-26升级配方金装幼儿乐900g 3段1-3岁婴儿奶粉 包邮,36326145049,0,26
全进口奶源升级配方 雀巢能恩1段400g克盒装一段400克 婴儿奶粉,36257314482,1,0.4
惠氏 S-26智学因子升级新配方奶粉 金装健儿乐400g 2段,36371249944,3,0.4
Nestle/雀巢超级能恩2/二段 800g 6罐箱装 13年12月产,36375869265,0,0.8
Nestle/雀巢超级能恩3段 800g 6罐箱装 14年2月产,36375987467,0,0.8
德国原装进口包邮Aptamil爱他美1段婴幼儿奶粉3-6个月新配方800g,36348799971,13,0.8
惠氏 S-26升级新配方 金装健儿乐900g 2段6-18个月 包邮,36326211008,0,26
圣元原装进口优博3段900g听1-3岁奶粉,36358932113,0,0.9
明一a尔法盾较大婴儿奶粉2段 幼儿奶粉2段1200g,25939988626,0,1.2
13年8月雅培金装小安素草莓味全营养儿童配方粉 900g 听装,36273414116,1,0.9
Friso/美素佳儿 金装 900g 二段（6-12个月）,36322128031,0,0.9
雅士利能慧2段配方奶粉盒装整箱含12盒4800g克,36386957649,0,4.8
圣元优博2段900克听58种营养素6-18个月婴儿配方奶粉,36350599660,19,0.9
雅士利安贝慧2段奶粉罐装 整箱装内含6罐 5400g,36386991682,0,5.4
Wyeth/惠氏3段金装幼儿乐3200g*2盒 八联包 1-3岁幼儿配方奶粉,36335160759,74,3.2
雅士利a金装2段奶粉配方袋装整箱装含12袋4800g,36386911750,0,4.8
圣元丹新西兰原装进口优博1段900g听0-12个月婴儿奶粉,36348390490,0,0.9
澳洲直邮 金装惠氏二段S26金装爱儿乐婴儿奶粉2段900g*6罐,36358894220,0,0.9
雅士利a金装2段配方奶粉400克盒装整箱装含12盒4800g,36386861624,0,0.4
雅士利安贝慧3段奶粉罐装整箱装 内含6桶罐装 5400g,36394328131,0,5.4
澳洲直邮 金装惠氏四段S26金装爱儿乐婴儿奶粉4段900g*6罐,36369052764,0,0.9
【21省包邮】Nestle雀巢超级能恩1段听罐装 800g*6 6罐整箱装,36375653314,0,0.8
雀巢 力多精3三段900g厅装 婴幼儿奶粉 改善肠道 不上火,36436414301,0,0.9
Nestle/雀巢力多精1段婴儿奶粉400克盒 改善肠道 不上火,36446876158,0,0.4
原装原罐欧洲进口 雅培亲护3段奶粉 易消化 低乳糖 小分子蛋白,36375822895,0,0
【周期购】荷兰乳牛原装进口营养易吸收婴幼儿奶粉2段900g*4罐,35190592519,0,0.9
